year,partner,flow,commodity,cifvalue,fobvalue,trade_value,partner_group,aukus_period
2017,China,Import,Turbojets & Propulsion (HS 8411),5523515.086,5624584.359,5523515.086,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Turbojets & Propulsion (HS 8411),6353582.362,6407492.767,6353582.362,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Turbojets & Propulsion (HS 8411),103837.807,112165.014,103837.807,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Turbojets & Propulsion (HS 8411),77176868.538,77824866.34,77176868.538,AUKUS Members,Pre-AUKUS (2017-2020)
2017,United States,Import,Turbojets & Propulsion (HS 8411),487168777.456,494807001.502,487168777.456,AUKUS Members,Pre-AUKUS (2017-2020)
2017,China,Import,Computers & Computing (HS 8471),4176940402.253,4265994252.973,4176940402.253,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Computers & Computing (HS 8471),39895104.211,40500664.138,39895104.211,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Computers & Computing (HS 8471),13095479.981,13361999.467,13095479.981,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Computers & Computing (HS 8471),48131411.551,50202117.269,48131411.551,AUKUS Members,Pre-AUKUS (2017-2020)
2017,United States,Import,Computers & Computing (HS 8471),508051133.356,518455100.106,508051133.356,AUKUS Members,Pre-AUKUS (2017-2020)
2017,China,Import,Telecommunications Equipment (HS 8517),4912243937.223,4958953758.127,4912243937.223,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Telecommunications Equipment (HS 8517),19046979.75,19373574.788,19046979.75,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Telecommunications Equipment (HS 8517),76405385.111,77218930.239,76405385.111,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Telecommunications Equipment (HS 8517),34014648.264,34880054.212,34014648.264,AUKUS Members,Pre-AUKUS (2017-2020)
2017,United States,Import,Telecommunications Equipment (HS 8517),436209129.137,443744019.441,436209129.137,AUKUS Members,Pre-AUKUS (2017-2020)
2017,China,Import,Radar & Navigation (HS 8526),39641543.041,40565189.593,39641543.041,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Radar & Navigation (HS 8526),4540183.81,4638874.76,4540183.81,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Radar & Navigation (HS 8526),1605085.358,1650120.747,1605085.358,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Radar & Navigation (HS 8526),11219011.85,11384256.42,11219011.85,AUKUS Members,Pre-AUKUS (2017-2020)
2017,United States,Import,Radar & Navigation (HS 8526),112625268.429,114051018.704,112625268.429,AUKUS Members,Pre-AUKUS (2017-2020)
2017,China,Import,Semiconductors (HS 8541),678682239.106,692403738.903,678682239.106,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Semiconductors (HS 8541),5608327.226,5730339.056,5608327.226,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Semiconductors (HS 8541),41811760.62,42536234.074,41811760.62,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Semiconductors (HS 8541),2085013.381,2153899.979,2085013.381,AUKUS Members,Pre-AUKUS (2017-2020)
2017,United States,Import,Semiconductors (HS 8541),15287751.078,15629881.117,15287751.078,AUKUS Members,Pre-AUKUS (2017-2020)
2017,China,Import,Integrated Circuits (HS 8542),64378655.776,65312117.087,64378655.776,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Integrated Circuits (HS 8542),4522969.752,4591205.482,4522969.752,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Integrated Circuits (HS 8542),34135422.32,34322348.0,34135422.32,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Integrated Circuits (HS 8542),3938084.924,3993072.331,3938084.924,AUKUS Members,Pre-AUKUS (2017-2020)
2017,United States,Import,Integrated Circuits (HS 8542),41592533.468,42099990.228,41592533.468,AUKUS Members,Pre-AUKUS (2017-2020)
2017,China,Import,Electrical Machines (HS 8543),133194771.179,137886280.777,133194771.179,China,Pre-AUKUS (2017-2020)
2017,Japan,Import,Electrical Machines (HS 8543),11903209.672,12181173.108,11903209.672,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,South Korea,Import,Electrical Machines (HS 8543),9820938.686,10031940.914,9820938.686,Non-Affiliated,Pre-AUKUS (2017-2020)
2017,United Kingdom,Import,Electrical Machines (HS 8543),30943954.873,31687917.019,30943954.873,AUKUS Members,Pre-AUKUS (2017-2020)
